"tournamentMode","strategyName","pointsForStrategy","nbTurnTheoric","nbTurnReal","populationSize","nbPersonForStrategy","nbPointByPersonByStrategy","nbPointRatio"
"COPIE","CycliqueTendanceFetard","2","1","1","1","1","2,0","2,0"
"COPIE","HardJoss","1682","101","101","101","16","105,125","1,0408415841584158"
"COPIE","SondeurIntelligent","918","101","101","101","9","102,0","1,00990099009901"
"COPIE","MajorMou","1230","101","101","101","12","102,5","1,0148514851485149"
"COPIE","Mefiant","864","101","101","101","8","108,0","1,0693069306930694"
"COPIE","Pavlovien","333","101","101","101","3","111,0","1,099009900990099"
"COPIE","Fetard","995","101","101","101","9","110,55555555555556","1,0946094609460946"
"COPIE","Lunatique","2057","101","101","101","21","97,95238095238095","0,9698255539839697"
"COPIE","Rancunier","408","101","101","101","4","102,0","1,00990099009901"
"COPIE","EasyGo","448","101","101","101","4","112,0","1,108910891089109"
"COPIE","SondeurFou","999","101","101","101","9","111,0","1,099009900990099"
"COPIE","Casanier","202","101","101","101","2","101,0","1,0"
"COPIE","CycliqueTendanceCasanier","264","101","101","101","3","88,0","0,8712871287128713"
"COPIE","CycliqueTendanceFetard","92","101","101","101","1","92,0","0,9108910891089109"
"COPIE","HardJoss","4190","201","201","201","23","182,17391304347825","0,9063378758382002"
"COPIE","SondeurIntelligent","2728","201","201","201","14","194,85714285714286","0,9694385216773277"
"COPIE","CycliqueTendanceCasanier","3349","201","201","201","17","197,0","0,9800995024875622"
"COPIE","MajorMou","2589","201","201","201","13","199,15384615384616","0,9908151549942595"
"COPIE","SondeurFou","2992","201","201","201","16","187,0","0,9303482587064676"
"COPIE","EasyGo","4127","201","201","201","22","187,5909090909091","0,933288104929896"
"COPIE","Pavlovien","2618","201","201","201","14","187,0","0,9303482587064676"
"COPIE","CycliqueTendanceFetard","3439","201","201","201","18","191,05555555555554","0,9505251520176893"
"COPIE","Casanier","3417","201","201","201","17","201,0","1,0"
"COPIE","Mefiant","1496","201","201","201","8","187,0","0,9303482587064676"
"COPIE","Lunatique","1804","201","201","201","10","180,4","0,8975124378109453"
"COPIE","Rancunier","2412","201","201","201","12","201,0","1,0"
"COPIE","Fetard","3196","201","201","201","17","188,0","0,9353233830845771"
"COPIE","HardJoss","10807","301","301","301","38","284,39473684210526","0,9448330127644693"
